"","�..Gemeente","X11.Mar","X12.Mar","X13.Mar","X14.Mar","X15.Mar","X16.Mar","X17.Mar","X18.Mar","X19.Mar","X20.Mar","X21.Mar","X22.Mar","X23.Mar","X24.Mar","X25.Mar","X26.Mar","X27.Mar","X28.Mar","X29.Mar"
"1","'s-Gravenhage",7,7,8,9,10,14,17,21,27,36,44,47,53,63,81,103,124,161,176
"2","'s-Hertogenbosch",5,8,11,14,14,20,24,30,35,38,45,55,60,67,75,87,108,117,131
"3","Aa en Hunze",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,4,4
"4","Aalsmeer",2,2,3,3,3,3,3,3,4,5,5,7,8,9,10,11,12,16,17
"5","Aalten",0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,5
"6","Achtkarspelen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2
"7","Alblasserdam",0,0,0,0,0,0,1,1,2,3,3,4,4,4,5,6,6,6,7
"8","Albrandswaard",1,1,1,1,1,2,3,4,4,5,8,12,14,18,18,19,21,23,24
"9","Alkmaar",1,1,1,1,1,2,2,5,9,10,11,15,16,20,24,29,36,42,45
"10","Almelo",1,1,1,1,1,1,1,1,2,3,4,5,7,8,10,12,14,15,19
"11","Almere",1,1,1,2,2,3,3,4,5,5,11,14,18,21,28,32,39,48,57
"12","Alphen aan den Rijn",2,3,4,6,6,6,6,9,10,13,15,17,17,20,22,30,32,35,41
"13","Alphen-Chaam",0,0,0,1,1,2,3,6,6,6,7,9,14,15,16,19,19,21,24
"14","Altena",4,5,8,9,10,12,12,15,19,19,22,23,25,28,35,35,39,41,41
"15","Ameland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Amersfoort",2,4,4,4,10,18,21,23,30,32,37,37,41,44,47,54,59,63,68
"17","Amstelveen",2,2,3,3,3,4,6,7,13,22,26,27,29,33,35,46,52,63,75
"18","Amsterdam",8,11,20,31,31,39,56,61,85,127,161,188,203,250,297,351,411,477,530
"19","Apeldoorn",1,2,2,3,3,7,7,10,11,13,16,17,26,29,34,39,49,52,53
"20","Appingedam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"21","Arnhem",3,4,4,4,7,7,8,9,10,13,15,16,20,23,25,34,46,52,59
"22","Assen",0,0,0,0,0,0,0,0,0,1,1,2,4,5,5,7,8,10,12
"23","Asten",0,0,0,0,1,1,2,2,2,2,5,5,5,6,6,6,8,10,15
"24","Baarle-Nassau",0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3
"25","Baarn",0,0,0,0,0,0,0,0,2,1,1,1,2,2,4,5,5,6,7
"26","Barendrecht",0,1,1,1,3,3,3,3,4,5,9,10,13,15,16,19,21,28,29
"27","Barneveld",0,0,0,0,2,3,4,5,6,8,8,9,10,12,13,13,17,19,20
"28","Beek",0,0,0,0,3,3,3,3,3,5,5,5,5,9,13,13,13,14,15
"29","Beekdaelen",8,8,8,9,12,13,15,18,18,19,19,19,20,29,30,32,34,37,39
"30","Beemster",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,4
"31","Beesel",0,0,0,0,0,0,0,0,0,1,3,5,5,6,7,8,11,13,15
"32","Berg en Dal",3,3,5,6,6,10,14,14,18,20,25,30,33,35,37,43,44,53,64
"33","Bergeijk",1,1,1,1,1,1,1,1,1,1,1,1,3,5,10,11,13,14,14
"34","Bergen (L)",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2
"35","Bergen (NH)",0,0,0,0,1,1,1,2,4,4,6,8,9,12,12,14,16,20,22
"36","Bergen op Zoom",1,1,1,1,4,4,5,5,6,8,9,10,12,12,12,13,15,17,17
"37","Berkelland",0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,5
"38","Bernheze",2,4,13,15,16,19,20,26,30,37,41,57,62,67,69,83,87,95,104
"39","Best",3,3,3,3,3,4,5,6,6,8,11,14,14,17,19,21,23,23,25
"40","Beuningen",3,3,3,4,4,5,6,6,6,8,9,11,12,13,15,15,16,18,23
"41","Beverwijk",4,5,5,5,5,5,6,6,6,6,6,7,7,11,11,12,13,17,20
"42","Bladel",0,0,0,1,1,1,1,2,3,6,7,11,12,14,15,15,15,18,18
"43","Blaricum",1,1,1,1,1,1,1,2,2,3,4,4,4,4,5,6,6,6,6
"44","Bloemendaal",1,1,1,1,1,1,3,3,3,3,8,8,11,13,13,16,17,19,19
"45","Bodegraven-Reeuwijk",0,1,1,1,1,1,1,1,1,1,3,5,5,5,5,8,9,10,11
"46","Boekel",7,8,11,12,12,14,14,19,20,25,32,37,40,42,42,42,51,53,59
"47","Borger-Odoorn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
"48","Borne",3,2,3,3,3,3,3,3,3,3,4,5,7,8,11,12,13,15,19
"49","Borsele",1,1,1,1,1,2,2,2,3,3,3,3,3,4,5,6,7,7,7
"50","Boxmeer",0,0,1,1,1,1,1,2,2,5,6,7,7,9,9,10,13,17,19
"51","Boxtel",0,1,1,2,2,3,5,5,6,6,11,12,12,15,15,19,22,24,24
"52","Breda",32,42,53,64,71,86,96,105,113,121,133,140,161,167,181,201,215,227,237
"53","Brielle",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,5,10,11
"54","Bronckhorst",2,2,2,2,2,2,2,2,3,5,6,6,6,7,7,8,8,9,11
"55","Brummen",0,0,0,0,0,0,0,0,1,1,1,1,4,4,4,4,5,5,8
"56","Brunssum",0,0,0,0,0,0,2,4,4,6,6,6,8,17,20,22,24,25,26
"57","Bunnik",0,0,0,0,0,0,0,0,1,2,3,3,4,6,8,9,9,10,10
"58","Bunschoten",0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,4,4
"59","Buren",0,1,2,2,2,4,4,4,5,5,5,5,5,6,7,7,7,7,8
"60","Capelle aan den IJssel",0,0,0,0,0,0,1,1,2,3,3,7,7,13,23,26,31,41,42
"61","Castricum",0,0,0,4,5,5,5,5,6,6,7,8,8,10,10,13,18,19,20
"62","Coevorden",11,11,11,11,11,11,11,12,12,13,14,14,14,15,15,17,17,20,20
"63","Cranendonck",1,1,2,2,2,2,5,6,6,8,11,13,19,23,25,31,42,42,55
"64","Cuijk",1,1,2,2,2,2,2,2,4,4,4,4,5,6,8,8,8,10,10
"65","Culemborg",1,1,2,2,2,2,4,4,4,4,5,5,5,8,8,14,14,16,18
"66","Dalfsen",0,0,0,0,1,1,1,1,1,4,5,8,9,11,12,13,14,15,16
"67","Dantumadiel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
"68","De Bilt",10,11,11,11,12,13,15,16,16,18,19,20,23,27,32,34,36,39,39
"69","De Fryske Marren",0,1,2,2,3,3,3,5,5,6,8,8,8,8,9,12,12,17,21
"70","De Ronde Venen",0,0,0,0,0,2,2,2,2,3,3,4,6,8,9,13,17,17,19
"71","De Wolden",0,0,0,1,1,1,1,1,1,2,3,3,3,3,3,3,3,7,7
"72","Delft",1,1,2,2,2,2,2,4,5,9,11,12,16,17,21,25,27,29,32
"73","Delfzijl",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,7,7
"74","Den Helder",1,1,1,1,1,1,1,1,2,2,3,3,4,5,5,6,9,9,11
"75","Deurne",3,3,3,3,4,5,8,8,10,13,19,22,22,25,30,35,42,46,53
"76","Deventer",0,0,0,0,1,2,4,5,5,7,16,16,17,20,26,30,33,45,46
"77","Diemen",2,2,2,2,2,2,2,2,2,3,3,4,4,4,6,6,7,7,8
"78","Dinkelland",2,1,3,4,4,5,5,6,8,9,13,14,15,17,20,25,28,30,32
"79","Doesburg",0,0,0,0,1,1,1,1,1,3,3,4,4,4,5,5,6,6,6
"80","Doetinchem",0,0,0,0,0,0,0,0,3,4,5,5,6,8,10,17,17,18,23
"81","Dongen",4,4,4,5,5,5,5,5,5,2,2,2,2,4,6,6,10,12,18
"82","Dordrecht",0,0,1,1,1,1,4,4,8,11,12,13,17,23,26,28,32,36,42
"83","Drechterland",0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,4,4,5,5
"84","Drimmelen",1,3,5,5,5,7,11,12,13,13,14,14,16,17,20,21,24,26,30
"85","Dronten",0,0,2,3,6,7,7,8,9,10,11,10,11,11,11,11,11,11,13
"86","Druten",0,0,1,3,5,5,5,5,5,5,5,5,6,6,7,7,11,13,16
"87","Duiven",0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,3,4,6,6
"88","Echt-Susteren",0,0,0,0,0,0,2,6,6,7,11,12,14,15,20,23,25,28,29
"89","Edam-Volendam",0,0,0,0,0,0,0,0,3,3,4,5,6,7,9,10,14,14,14
"90","Ede",0,0,0,0,1,2,2,5,5,9,13,16,21,22,26,33,37,46,49
"91","Eemnes",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"92","Eersel",0,1,1,2,2,2,3,4,4,6,7,9,10,13,13,14,15,17,20
"93","Eijsden-Margraten",0,0,0,1,3,4,4,4,4,6,6,6,7,15,20,26,32,43,48
"94","Eindhoven",8,8,12,13,21,21,22,23,24,28,35,46,55,68,80,93,113,128,139
"95","Elburg",0,0,1,1,1,1,1,1,1,2,2,3,4,4,5,6,9,11,16
"96","Emmen",1,1,1,1,1,1,1,2,3,4,4,4,6,7,8,8,10,12,14
"97","Enkhuizen",0,0,0,0,0,1,1,1,5,5,6,7,8,10,13,15,17,17,17
"98","Enschede",1,3,3,3,3,3,3,4,7,8,16,18,20,20,26,34,45,49,55
"99","Epe",0,0,0,0,0,2,2,4,4,4,6,8,10,13,15,16,18,20,29
"100","Ermelo",1,3,4,5,7,8,8,8,8,9,11,13,13,14,17,17,18,19,20
"101","Etten-Leur",5,5,6,7,8,10,12,13,14,15,18,20,24,24,31,37,40,50,51
"102","Geertruidenberg",1,1,1,1,1,3,5,7,7,7,7,8,10,10,11,11,11,12,12
"103","Geldrop-Mierlo",0,1,2,2,2,3,3,3,4,4,6,6,8,9,15,16,20,22,24
"104","Gemert-Bakel",4,7,11,13,16,20,25,26,31,36,42,50,56,64,68,71,76,82,90
"105","Gennep",0,0,1,1,1,1,1,2,4,4,5,7,7,7,7,8,9,14,14
"106","Gilze en Rijen",0,0,1,1,1,1,1,3,5,7,7,12,13,16,18,19,22,25,27
"107","Goeree-Overflakkee",0,0,1,1,2,4,5,7,8,14,16,25,36,43,44,56,77,92,102
"108","Goes",2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,7,12,12,16
"109","Goirle",6,6,6,6,6,9,9,9,11,11,12,13,13,16,18,21,24,26,34
"110","Gooise Meren",3,3,3,4,4,4,9,9,10,10,11,11,11,12,18,20,24,25,25
"111","Gorinchem",0,0,0,0,0,0,0,0,1,0,0,2,2,4,8,9,13,14,17
"112","Gouda",2,2,2,2,3,4,5,7,9,10,12,15,16,17,18,25,31,35,37
"113","Grave",0,0,0,0,0,0,0,1,2,4,6,10,11,11,11,14,16,19,22
"114","Groningen",0,2,3,3,6,7,7,11,23,28,39,46,53,53,58,76,80,85,87
"115","Gulpen-Wittem",0,0,0,0,1,2,2,2,2,2,2,2,2,4,5,5,7,8,10
"116","Haaksbergen",0,0,0,0,1,1,1,1,1,1,1,3,3,3,3,4,6,9,10
"117","Haaren",6,6,7,7,7,7,7,9,9,9,10,12,12,12,12,14,18,21,22
"118","Haarlem",1,1,4,4,4,6,7,7,10,17,25,27,29,41,46,54,66,73,81
"119","Haarlemmermeer",0,0,0,0,1,2,4,4,5,8,12,16,18,23,23,30,40,45,53
"120","Halderberge",0,0,0,0,0,2,2,2,2,2,5,7,7,8,8,8,10,12,13
"121","Hardenberg",0,0,0,0,0,0,0,0,0,1,3,3,4,6,7,9,11,16,20
"122","Harderwijk",0,2,2,2,2,4,4,5,5,5,5,6,8,9,13,14,18,18,22
"123","Hardinxveld-Giessendam",5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7
"124","Harlingen",0,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3,3,4
"125","Hattem",0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,5,7,7,10
"126","Heemskerk",0,0,1,1,1,2,2,2,3,5,5,5,5,7,9,10,16,19,22
